date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:55:53	24697/24697	---M-Z	200	added ('OK')	text/html	etag:%22dbaa7c5-6079-579ede58d3540%22	https://filebox.ece.vt.edu/~ECE3574/index.html	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/index.html	(from )
19:55:54	240/240	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Dec%202018%2000:55:54%20GMT	https://filebox.ece.vt.edu/robots.txt		(from )
19:55:54	99548/99548	---M-Z	200	added ('OK')	text/css	etag:%221544639646%22	https://netdna.bootstrapcdn.com/bootstrap/3.0.3/css/bootstrap.min.css	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/netdna.bootstrapcdn.com/bootstrap/3.0.3/css/bootstrap.min.css	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:54	353/353	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Dec%202018%2000:55:55%20GMT	https://filebox.ece.vt.edu/~ECE3574/meeting/01-introduction	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/meeting/01-introduction	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:54	7583/7583	---M-Z	200	added ('OK')	text/html	etag:%22dcaf99b-1d9f-57a789bcb2800%22	https://filebox.ece.vt.edu/~ECE3574/project/index.html	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/project/index.html	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:55	14621/14621	---M-Z	200	added ('OK')	text/html	etag:%22a655485-391d-5747ef81e7440%22	https://filebox.ece.vt.edu/~ECE3574/project/milestone0.html	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/project/milestone0.html	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:55	344/344	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Dec%202018%2000:55:56%20GMT	https://filebox.ece.vt.edu/~ECE3574/meeting/02-git	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/meeting/02-git	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:55	10308/10308	---M-Z	200	added ('OK')	text/html	etag:%22ac97e82-2844-57391f5bfe780%22	https://filebox.ece.vt.edu/~ECE3574/meeting/01-introduction/	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/meeting/01-introduction/index.html	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:55	348/348	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Dec%202018%2000:55:56%20GMT	https://filebox.ece.vt.edu/~ECE3574/meeting/03-vagrant	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/meeting/03-vagrant.6.delayed	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:55	350/350	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Dec%202018%2000:55:56%20GMT	https://filebox.ece.vt.edu/~ECE3574/meeting/04-templates	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/meeting/04-templates	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:55	344/344	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Dec%202018%2000:55:56%20GMT	https://filebox.ece.vt.edu/~ECE3574/meeting/05-stl	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/meeting/05-stl	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:56	347/347	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Dec%202018%2000:55:57%20GMT	https://filebox.ece.vt.edu/~ECE3574/meeting/06-design	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/meeting/06-design	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:56	8417/8417	---M-Z	200	added ('OK')	text/html	etag:%221bb542e-20e1-573a03b46a380%22	https://filebox.ece.vt.edu/~ECE3574/meeting/02-git/	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/meeting/02-git/index.html	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:56	18503/18503	---M-Z	200	added ('OK')	text/html	etag:%22a94f1c1-4847-575ed6e132280%22	https://filebox.ece.vt.edu/~ECE3574/project/milestone1.html	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/project/milestone1.html	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:56	345/345	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Dec%202018%2000:55:57%20GMT	https://filebox.ece.vt.edu/~ECE3574/meeting/07-unit	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/meeting/07-unit	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:56	346/346	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Dec%202018%2000:55:57%20GMT	https://filebox.ece.vt.edu/~ECE3574/meeting/08-cmake	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/meeting/08-cmake	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:57	348/348	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Dec%202018%2000:55:57%20GMT	https://filebox.ece.vt.edu/~ECE3574/meeting/09-qtintro	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/meeting/09-qtintro	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:57	8292/8292	---M-Z	200	added ('OK')	text/html	etag:%22ac9f4ca-2064-5741eea760fc0%22	https://filebox.ece.vt.edu/~ECE3574/meeting/03-vagrant/	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/meeting/03-vagrant/index.html	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:57	345/345	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Dec%202018%2000:55:58%20GMT	https://filebox.ece.vt.edu/~ECE3574/meeting/10-poly	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/meeting/10-poly	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:57	352/352	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Dec%202018%2000:55:58%20GMT	https://filebox.ece.vt.edu/~ECE3574/meeting/11-composition	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/meeting/11-composition	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
19:55:57	347/347	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Dec%202018%2000:55:58%20GMT	https://filebox.ece.vt.edu/~ECE3574/meeting/12-events	Z:/GitHub/ECE3574_2018F/documentation/ECE3574_2018F/filebox.ece.vt.edu/_ECE3574/meeting/12-events	(from https://filebox.ece.vt.edu/~ECE3574/index.html)
