date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:58:54	242/242	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Apr%202018%2023:58:59%20GMT	https://computing.ece.vt.edu/robots.txt		(from )
19:58:54	24766/24766	---M-Z	200	added ('OK')	text/html	etag:%22b6723e1-60be-56998920fae80%22	https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/	Z:/GitHub/ECE3574/tmp/ECE3574_2018S/computing.ece.vt.edu/_changwoo/ECE3575-2018S/index.html	(from )
19:58:55	99548/99548	---M-Z	200	added ('OK')	text/css	etag:1519106274	https://netdna.bootstrapcdn.com/bootstrap/3.0.3/css/bootstrap.min.css	Z:/GitHub/ECE3574/tmp/ECE3574_2018S/netdna.bootstrapcdn.com/bootstrap/3.0.3/css/bootstrap.min.css	(from https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/)
19:58:55	24766/24766	---M-Z	200	added ('OK')	text/html	etag:%22b6723e1-60be-56998920fae80%22	https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/index.html	Z:/GitHub/ECE3574/tmp/ECE3574_2018S/computing.ece.vt.edu/_changwoo/ECE3575-2018S/index-2.html	(from https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/)
19:58:55	7689/7689	---M-Z	200	added ('OK')	text/html	etag:%229bc6bcc-1e09-569d11f7e3740%22	https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/helpsessions.html	Z:/GitHub/ECE3574/tmp/ECE3574_2018S/computing.ece.vt.edu/_changwoo/ECE3575-2018S/helpsessions.html	(from https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/)
19:58:55	6566/6566	---M-Z	200	added ('OK')	text/html	etag:%22280f895-19a6-5685ab7969e00%22	https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/projects/index.html	Z:/GitHub/ECE3574/tmp/ECE3574_2018S/computing.ece.vt.edu/_changwoo/ECE3575-2018S/projects/index.html	(from https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/)
19:58:56	372/372	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2015%20Apr%202018%2023:59:00%20GMT	https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/meeting/01-introduction	Z:/GitHub/ECE3574/tmp/ECE3574_2018S/computing.ece.vt.edu/_changwoo/ECE3575-2018S/meeting/01-introduction	(from https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/)
19:58:56	10752/10752	---M-Z	200	added ('OK')	text/html	etag:%229c847d4-2a00-562c01179ef80%22	https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/meeting/01-introduction/	Z:/GitHub/ECE3574/tmp/ECE3574_2018S/computing.ece.vt.edu/_changwoo/ECE3575-2018S/meeting/01-introduction/index.html	(from https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/)
19:58:56	22179/22179	---M-Z	200	added ('OK')	text/html	etag:%229c8407e-56a3-562f9c6c91940%22	https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/projects/milestone0.html	Z:/GitHub/ECE3574/tmp/ECE3574_2018S/computing.ece.vt.edu/_changwoo/ECE3575-2018S/projects/milestone0.html	(from https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/)
19:58:56	363/363	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2015%20Apr%202018%2023:59:01%20GMT	https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/meeting/02-git	Z:/GitHub/ECE3574/tmp/ECE3574_2018S/computing.ece.vt.edu/_changwoo/ECE3575-2018S/meeting/02-git	(from https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/)
19:58:56	367/367	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2015%20Apr%202018%2023:59:01%20GMT	https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/meeting/03-vagrant	Z:/GitHub/ECE3574/tmp/ECE3574_2018S/computing.ece.vt.edu/_changwoo/ECE3575-2018S/meeting/03-vagrant	(from https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/)
19:58:56	369/369	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2015%20Apr%202018%2023:59:01%20GMT	https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/meeting/04-templates	Z:/GitHub/ECE3574/tmp/ECE3574_2018S/computing.ece.vt.edu/_changwoo/ECE3575-2018S/meeting/04-templates	(from https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/)
19:58:57	363/363	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2015%20Apr%202018%2023:59:01%20GMT	https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/meeting/05-stl	Z:/GitHub/ECE3574/tmp/ECE3574_2018S/computing.ece.vt.edu/_changwoo/ECE3575-2018S/meeting/05-stl	(from https://computing.ece.vt.edu/~changwoo/ECE3575-2018S/)
